date,open,high,low,close,volume,index_close,ma_index,ma_stock,volatility,vol_ma,regime,ma,std,upper,lower,signal,suggested_t_pos,benchmark_nav,amplitude,t_profit,win_rand,stock_ret,strategy_daily_ret,strategy_nav
2024-01-05,1555.01,1572.34,1545.79,1557.04,20243,3329.111,,,,,Low-Liquidity,,,,,0,0.0,1.0,,0.0,0.3745401188473625,0.0,0.0,1.0
2024-01-08,1554.68,1555.68,1533.69,1537.67,25586,3286.056,,,,,Low-Liquidity,,,,,0,0.0,0.9875597287160254,0.014122951240815914,0.0,0.9507143064099162,-0.012440271283974624,-0.012440271283974624,0.9875597287160254
2024-01-09,1534.69,1546.0,1528.75,1534.68,24412,3292.499,,,,,Low-Liquidity,,,,,0,0.0,0.9856394183835997,0.011218271800841532,0.0,0.7319939418114051,-0.0019445004454792247,-0.0019445004454792247,0.9856394183835997
2024-01-10,1534.78,1553.14,1531.68,1535.18,17351,3277.129,,,,,Low-Liquidity,,,,,0,0.0,0.9859605405127678,0.013983371126228291,0.0,0.5986584841970366,0.0003258008184117145,0.0003258008184117145,0.9859605405127679
2024-01-11,1533.78,1551.62,1531.74,1540.25,16441,3295.672,,,,,Low-Liquidity,,,,,0,0.0,0.989216718902533,0.01294962154275061,0.0,0.15601864044243652,0.0033025443270495725,0.0033025443270495725,0.9892167189025332
2024-01-12,1533.65,1544.94,1533.08,1536.74,11603,3284.167,,,,,Low-Liquidity,,,,,0,0.0,0.9869624415557725,0.0077000486933940125,0.0,0.15599452033620265,-0.00227885083590329,-0.00227885083590329,0.9869624415557726
2024-01-15,1528.68,1548.65,1528.13,1533.68,17854,3280.92,,,,,Low-Liquidity,,,,,0,0.0,0.9849971741252633,0.013352941942033123,0.0,0.05808361216819946,-0.0019912281843382784,-0.0019912281843382784,0.9849971741252634
2024-01-16,1532.18,1540.68,1518.62,1533.11,25903,3300.876,,,,,Low-Liquidity,,,,,0,0.0,0.9846310948980116,0.014383704553753176,0.0,0.8661761457749352,-0.00037165510406356184,-0.00037165510406356184,0.9846310948980116
2024-01-17,1523.68,1529.16,1470.68,1470.68,51633,3229.082,,,,,Low-Liquidity,,,,,0,0.0,0.9445357858500746,0.03814468629126418,0.0,0.6011150117432088,-0.04072114851510966,-0.04072114851510966,0.9445357858500746
2024-01-18,1467.68,1506.48,1449.23,1504.55,60440,3274.729,,,,,Low-Liquidity,,,,,0,0.0,0.966288598879926,0.03892757091957462,0.0,0.7080725777960455,0.023030162917833774,0.023030162917833774,0.9662885988799259
2024-01-19,1502.55,1531.69,1494.56,1528.68,46378,3269.776,,,,,Low-Liquidity,,,,,0,0.0,0.9817859528335817,0.024678475291615508,0.0,0.020584494295802447,0.01603801801203031,0.01603801801203031,0.9817859528335817
2024-01-22,1522.68,1536.68,1512.56,1535.68,46946,3218.902,,,,,Low-Liquidity,,,,,0,0.0,0.9862816626419361,0.01577831854933676,0.0,0.9699098521619943,0.004579114006855622,0.004579114006855622,0.9862816626419361
2024-01-23,1525.69,1533.63,1502.68,1512.68,34835,3231.933,,,,,Low-Liquidity,,,,,0,0.0,0.9715100447002004,0.020153938320483462,0.0,0.8324426408004217,-0.014977078558032875,-0.014977078558032875,0.9715100447002005
2024-01-24,1522.68,1527.52,1497.24,1519.68,33216,3277.109,,,,,Low-Liquidity,,,,,0,0.0,0.9760057545085548,0.020017452468466545,0.0,0.21233911067827616,0.004627548457043051,0.004627548457043051,0.9760057545085548
2024-01-25,1520.5,1534.68,1515.68,1531.68,31206,3342.919,,,,,Low-Liquidity,,,,,0,0.0,0.9837126856085907,0.012502632133080649,0.0,0.18182496720710062,0.007896399241945629,0.007896399241945629,0.9837126856085907
2024-01-26,1524.04,1537.78,1516.68,1531.0,26955,3333.821,,,,,Low-Liquidity,,,,,0,0.0,0.983275959512922,0.013775723388697318,0.0,0.18340450985343382,-0.0004439569622898265,-0.0004439569622898265,0.9832759595129219
2024-01-29,1533.98,1554.26,1533.97,1543.68,31421,3303.96,,,,,Low-Liquidity,,,,,0,0.0,0.9914196167086267,0.013252775963422576,0.0,0.3042422429595377,0.008282168517308897,0.008282168517308897,0.9914196167086265
2024-01-30,1543.66,1543.66,1503.68,1506.68,30866,3245.039,,,,,Low-Liquidity,,,,,0,0.0,0.9676565791501824,0.02589915008291875,0.0,0.5247564316322378,-0.023968698175787728,-0.023968698175787728,0.9676565791501823
2024-01-31,1506.68,1513.65,1491.81,1498.59,29649,3215.352,,,,,Low-Liquidity,,,,,0,0.0,0.9624608231002415,0.014495446942947503,0.0,0.43194501864211576,-0.0053694215095442255,-0.0053694215095442255,0.9624608231002414
2024-02-01,1499.18,1517.57,1494.68,1503.71,26485,3217.711,3275.33815,1524.782,,30471.15,Risk-Off,1524.782,19.85138642911107,1564.484772858222,1485.079227141778,0,0.8,0.9657491137029235,0.015274357896422553,0.0,0.2912291401980419,0.003416544885525896,0.003416544885525896,0.9657491137029236
2024-02-02,1508.68,1521.46,1474.68,1489.68,39382,3179.628,3267.864,1521.414,0.013831573373283716,31428.1,Risk-Off,1521.414,19.804540521384467,1561.0230810427688,1481.8049189572312,0,0.8,0.9567384267584649,0.031109721954366183,0.0,0.6118528947223795,-0.009330256498925937,-0.009330256498925937,0.956738426758465
2024-02-05,1489.68,1531.12,1488.93,1523.69,53130,3200.422,3263.5823,1520.7150000000001,0.014669219094885413,32805.3,Risk-Off,1520.7150000000001,19.444018563423004,1559.6030371268462,1481.8269628731541,0,0.8,0.9785811539844834,0.0283215187154287,0.0,0.13949386065204183,0.022830406530261582,0.022830406530261582,0.9785811539844836
2024-02-06,1523.69,1579.16,1519.78,1569.68,52472,3311.692,3264.54195,1522.4650000000001,0.01616833003393701,34208.3,Risk-On,1522.4650000000001,22.153326113582537,1566.7716522271653,1478.158347772835,0,0.2,1.0081179674253713,0.03897118180207267,0.0,0.29214464853521815,0.03018330500298627,0.03018330500298627,1.0081179674253715
2024-02-07,1574.71,1608.27,1555.29,1604.67,52601,3343.63,3267.867,1525.9395,0.016834339241174386,35970.8,Risk-On,1525.9395,28.72663819248792,1583.3927763849758,1468.486223615024,0,0.2,1.0305900940245596,0.03375210233933032,0.0,0.3663618432936917,0.0222911676265225,0.0222911676265225,1.0305900940245596
2024-02-08,1613.69,1618.68,1578.68,1599.68,46757,3364.93,3271.3299,1528.911,0.016876276606394326,37486.6,Risk-On,1528.911,33.03542737888014,1594.9818547577604,1462.8401452422397,0,0.2,1.0273852951754612,0.024927243607719966,0.0,0.45606998421703593,-0.003109673640063093,-0.003109673640063093,1.0273852951754612
2024-02-19,1631.55,1631.61,1581.68,1589.11,36977,3403.808,3277.3119500000003,1531.5295,0.01696199413344249,38755.3,Low-Liquidity,1531.5295,35.659903249123396,1602.849306498247,1460.2096935017532,0,0.0,1.020596773364846,0.031212492498499597,0.0,0.7851759613930136,-0.006607571514302912,-0.006607571514302912,1.0205967733648462
2024-02-20,1591.04,1591.04,1550.24,1563.68,34470,3410.854,3283.8086500000004,1533.0295,0.01741085466757717,39586.1,Low-Liquidity,1533.0295,36.37883659998516,1605.7871731999703,1460.2718268000299,0,0.0,1.0042645018753533,0.02567474875873914,0.0,0.19967378215835974,-0.016002668160165046,-0.016002668160165046,1.0042645018753533
2024-02-21,1559.7,1624.68,1555.68,1611.34,46154,3456.871,3291.6084,1536.9410000000003,0.01859848750025052,40598.65,Risk-On,1536.9410000000003,40.37424047191734,1617.689480943835,1456.1925190561656,0,0.2,1.0348738632276626,0.04412667553463624,0.0,0.5142344384136116,0.03047938197073563,0.03047938197073563,1.0348738632276628
2024-02-22,1601.18,1616.69,1594.21,1612.06,22794,3486.675,3304.48805,1544.01,0.015577850109558325,39156.7,Low-Liquidity,1544.01,40.538763385704094,1625.0875267714082,1462.9324732285918,0,0.0,1.0353362790936649,0.013951121426886951,0.0,0.5924145688620425,0.00044683307061199606,0.00044683307061199606,1.0353362790936649
2024-02-23,1604.79,1618.06,1593.7,1607.77,27306,3489.742,3315.2387000000003,1549.1709999999998,0.015037949063350898,37500.0,Low-Liquidity,1549.1709999999998,41.80151280314596,1632.7740256062918,1465.5679743937078,0,0.0,1.0325810512254021,0.015111100083123396,0.0,0.046450412719997725,-0.002661191270796337,-0.002661191270796337,1.0325810512254021
2024-02-26,1601.68,1602.42,1578.7,1588.66,27318,3453.359,3324.4178500000003,1552.1699999999998,0.015101917543113914,36547.0,Low-Liquidity,1552.1699999999998,42.40133004368708,1636.972660087374,1467.3673399126258,0,0.0,1.0203077634485949,0.01475335402451845,0.0,0.6075448519014384,-0.011886028474222043,-0.011886028474222043,1.0203077634485949
2024-02-27,1576.68,1586.6,1571.68,1583.18,22080,3494.787,3338.2120999999997,1554.545,0.015137362474709332,35303.7,Low-Liquidity,1554.545,42.757868158663854,1640.0607363173278,1469.0292636826723,0,0.0,1.0167882649129116,0.009391562700640694,0.0,0.17052412368729153,-0.003449447962433738,-0.003449447962433738,1.0167882649129119
